Domain,Aspect,Range,A Unique Child (What a child might be doing),Positive Relationships (What adults might do),Enabling Environments (What adults might provide)
Personal Social and Emotional Development,Making Relationships,Range 1,"• Enjoys the company of others and seeks contact with others from birth.
• Shows their readiness to be social through using their sensory abilities; following movement and gazing at faces intently.
• Moves body, arms and legs and changes facial expression in response to others, e.g. sticking out tongue .","• Offer warm, loving and consistent care in your interactions with babies and young children.
• Respond sensitively and quickly to babies and young children's needs.
• Learn from parents regarding caring practices at home .","• The setting offers a welcoming, calm, caring environment.
• Implement a Key Person Approach.
• Develop close partnerships with parents/carers."
Personal Social and Emotional Development,Making Relationships,Range 2,"• Begins to display attachment behaviours such as wanting to stay near.
• Becomes wary of unfamiliar people.
• Draws others into social interaction through calling, crying and babbling .","• Use care events to build a close relationship with babies and young children.
• Be physically and emotionally available to babies and young children to provide a secure base.
• Get to know each babies and young child's separation rituals .","• Arrange for staff absence to be covered by practitioners who are already familiar to the children.
• Allocate a secondary key person who takes responsibility for the care of babies when their key person is absent.
• The day is predictable enough to give babies a sense of security but is flexible enough to respond to individual patterns."
Personal Social and Emotional Development,Making Relationships,Range 3,"• Displays attachment behaviours such as wanting to stay near to their close carers.
• Explores confidently when they feel secure in the presence of a familiar adult.
• Closely watches others' body language to begin to understand their intentions .","• Let your key children know where you are going, what you are doing and who they will be with.
• Support babies and young children's need to hold on to their special comfort object.
• Enable children to explore by being a secure base for them .","• The environment is designed so that the number of times the key person has to leave the room is limited.
• Group rooms are as home-like as possible and decorated with photographs of the children's families.
• Develop play opportunities centred on objects babies bring from home."
Personal Social and Emotional Development,Making Relationships,Range 4,"• Builds relationships with special people but may show anxiety in the presence of strangers.
• Is becoming more able to separate from their close carers and explore new situations with support.
• Shows some understanding that other people have perspectives, ideas and needs that are different to theirs .","• Use mealtimes as ideal occasions for children to practice social skills.
• Play name games to welcome children to the setting.
• Soothe each of your key children to sleep in the way agreed with their parent .","• Provide duplicates of favourite items to reduce competition and conflict.
• Provide matching items for children and adults to mirror each other in play.
• Provide resources that promote cooperative play between two children."
Personal Social and Emotional Development,Making Relationships,Range 5,"• Shows empathy and concern for people who are special to them.
• Seeks out others to share experiences with and may choose to play with a familiar friend.
• Shows increasing consideration of other people's needs and gradually more impulse control .","• Offer a warm and consistent presence, spending time playing and being with children.
• Show that you keep children 'in mind' by referring to things you noticed in their play.
• Model key skills of empathy, negotiation, compromise and positive assertion .","• Plan the environment to create spaces for children to play alone, alongside or with others.
• Provide time, space and open-ended materials for children to collaborate with one another.
• Create opportunities for children to get to know everyone in the group."
Personal Social and Emotional Development,Making Relationships,Range 6,"• Represents and recreates what they have learnt about social interactions from their relationships with close adults.
• Develops particular friendships with other children.
• Is increasingly socially skilled and will take steps to resolve conflicts with other children by negotiating .","• Support young children's efforts to join in with others' play and inviting others into their play.
• Offer calm and considered support for children as they experiences conflict with their peers.
• Recognise and respect children's particular friendships .","• Provide play activities that encourage cooperation and collaboration.
• Choose books, puppets, and dolls and small world play that help children explore their ideas about friends.
• For young children who are finding it hard to make relationships, develop other situations such as forest school."
Personal Social and Emotional Development,Sense of Self,Range 1,"• Learns about their physical self through exploratory play with their hands and feet.
• Is becoming aware of self as they imitate sounds and expressions.
• Shows awareness of being a separate individual through initiating contact with others .","• Engage in attentive, uninterrupted play with babies when they are alert and ready.
• Provide many opportunities for babies to explore how their bodies move.
• Listen, respond to and build on babies' expressions, actions, and gestures .","• Allow for flexibility within practice so that the routines you follow offer continuity.
• Learn from parents/carers about each baby's family culture, traditions and languages.
• Provide comfortable areas where parents, practitioners and young babies can be together."
Personal Social and Emotional Development,Sense of Self,Range 2,"• Expresses awareness of their physical self through their own movements, gestures and expressions.
• Shows growing confidence that their needs will be met by freely expressing their need for comfort.
• Responds to their own name and enjoys finding own nose, eyes or tummy .","• Spend one-to-one time playing, talking and looking at books that are of personal relevance.
• Talk with babies about people and things that are special to them.
• Offer commentary to babies about what is happening around them .","• Place mirrors where babies can see their own reflection.
• Create sufficient safe space for babies to move, roll, stretch and explore.
• Provide objects and images that reflect the baby and their home."
Personal Social and Emotional Development,Sense of Self,Range 3,"• Is aware of and interested in their own and others' physical characteristics.
• Experiments with what their bodies can do through setting themselves physical challenges.
• Begins to use me, you and I in their talk .","• Use play and stories to positively support toddlers' understanding of their physical selves.
• Share toddlers' pleasure when they do something for themselves.
• Recognise a child's growing sense of agency and respect their attempts to gain independence .","• Create displays and albums of photographs of the children and the activities they have participated in.
• Encourage children to take their own photographs within the setting.
• Displays, equipment and resources are reflective of the children's linguistic social and cultural backgrounds."
Personal Social and Emotional Development,Sense of Self,Range 4,"• Knows their own name, their preferences and interests and is becoming aware of their unique abilities.
• Is developing an understanding of and interest in differences of gender, ethnicity and ability.
• Shows a sense of autonomy through asserting their ideas and preferences .","• Provide toddlers with opportunities to practise making choices and decisions.
• Support toddlers' autonomy by involving them in the daily organisation of the home or group.
• Be close by and available to provide encouragement and support when a toddler needs it .","• Plan the environment so that storage for coats, nappies, shoes and comforters are labelled.
• Provide an environment that is stable and familiar so children can find what they need.
• Plan personalised play that follows each child's interests."
