url,title,description,thumbnail,tags,variations,skills,what you'll need,link to video,instructions,
https://www.instructables.com/Bird-Finger-Puppet/,Bird Finger Puppet : 3 Steps (with Pictures) - Instructables,Bird Finger Puppet: Make your own bird finger puppet (or make more and have your own flock). You can choose to copy a bird you might see outside in your area or make up one of your own.,https://content.instructables.com/FFY/HXD5/KN6N5FGS/FFYHXD5KN6N5FGS.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/Artists-Popsicle-Stick-Puzzle/,Artist's Popsicle Stick Puzzle : 5 Steps (with Pictures) - Instructables,"Artist's Popsicle Stick Puzzle: Popsicle stick puzzles need an update! 
We can paint ANYTHING on a stack of popsicles! 
The supplies are easy to find and very inexpensive I've also included PDF patterns for the designs I painted
It would make an amazing gift to put several hand pa…",https://content.instructables.com/FNX/I7H6/KDPYJ6OZ/FNXI7H6KDPYJ6OZ.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/Simple-DIY-Sparkling-Wooden-Dice/,Simple DIY Sparkling Wooden Dice : 3 Steps (with Pictures) - Instructables,"Simple DIY Sparkling Wooden Dice: If you were interested in reading my articles you may have noticed that from time to time I like to make decorative things using more special methods or tools:
 
V-carving 'Hidden Messages' on Wood
A CNC As Metallic Foil Embossing Machine
Easy Desig…",https://content.instructables.com/FEE/5LBL/KCBY4E3O/FEE5LBLKCBY4E3O.png?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Montessori-Movable-Alphabet-WITHOUT-a-Printer-Lami/,Montessori Movable Alphabet WITHOUT a Printer & Laminator : 9 Steps (with Pictures) - Instructables,"Montessori Movable Alphabet WITHOUT a Printer & Laminator: If you have a child or a student who needs to learn letters, movable alphabet is perfect for hands on learning - children literally take learning in their own hands! Movable alphabet is one of the most popular language materials in Montessori educat…",https://content.instructables.com/F2F/U51J/KBW89CBQ/F2FU51JKBW89CBQ.png?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Hand-Paper-Puppet/,Hand Paper Puppet : 5 Steps (with Pictures) - Instructables,"Hand Paper Puppet: Fast forward to 3:27 in the video for the instructions
Puppetry is a form of theatre which shares the process of animating inanimate objects to tell a story. The art form was first recorded in the 5th century BC in Ancient Greece and is still popula…",https://content.instructables.com/F2I/58MM/KJLFL76G/F2I58MMKJLFL76G.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Homemade-Parachute-1/,Homemade Parachute : 12 Steps (with Pictures) - Instructables,"Homemade Parachute: The parachute glides slowly down thanks to something known as air resistance (or drag). When air gets under it, the plastic parachute fans out for maximum coverage; this air resistance slows the fall of the object tremendously. The ""umbrella"" part o…",https://content.instructables.com/F2S/X0QX/KAFCYZGI/F2SX0QXKAFCYZGI.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Engineering-a-Hoop-Glider/,Engineering a Hoop Glider : 13 Steps (with Pictures) - Instructables,"Engineering a Hoop Glider: Would you like to make your own flying toy, but you’re tired of paper airplanes?  Try making a hoop glider, instead! 
Hoop Gliders move through the air using the same forces that larger airplanes use when they fly.  Those forces are thrust, drag, li…",https://content.instructables.com/FM6/D2EL/KAB2N8YK/FM6D2ELKAB2N8YK.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Toddler-Sensory-Water-Bags/,Toddler Sensory Water Bags : 6 Steps (with Pictures) - Instructables,Toddler Sensory Water Bags: This is a super simple way to create a temporary sensory activity for toddlers. I find this is best used during the months when a child is starting to pull themselves up to stand until they start to walk. Past that (my daughter is currently 15 month…,https://content.instructables.com/F22/WJS1/K9UD1O8W/F22WJS1K9UD1O8W.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Static-Electricity-or-Superhero-Mind-Control/,Static Electricity or Superhero Mind Control : 5 Steps (with Pictures) - Instructables,"Static Electricity or Superhero Mind Control: There are many superheroes and fictional beings who have magnetic abilities: Magneto and Polaris from the X-Men, and Cosmic Boy from the Legion of Superheroes to name a few.
They typically use their magnetic force to move metal things from one place…",https://content.instructables.com/FMT/6JJS/K9R60MGC/FMT6JJSK9R60MGC.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Camouflage-Critters/,Camouflage Critters  : 4 Steps (with Pictures) - Instructables,"Camouflage Critters : The Science of Camouflage
Have you ever wanted to make yourself disappear while playing a game of hide and seek? Some animals do this every day! Camouflage is a defense technique used by animals to avoid being seen or help them blend in with their e…",https://content.instructables.com/FXO/OVI7/K9R60HJG/FXOOVI7K9R60HJG.png?auto=webp&frame=1,,,,,,,
