Song,Show,Specific Production,Album,BPM,YouTube Link,Length
Alexander Hamilton,Hamilton,Original Broadway,Hamilton (OBCR),132,https://www.youtube.com/results?search_query=Alexander+Hamilton+Hamilton+OBCR,3:56
"Aaron Burr, Sir",Hamilton,Original Broadway,Hamilton (OBCR),74,https://www.youtube.com/results?search_query=Aaron+Burr+Sir+Hamilton+OBCR,2:36
My Shot,Hamilton,Original Broadway,Hamilton (OBCR),91,https://www.youtube.com/results?search_query=My+Shot+Hamilton+OBCR,5:33
The Story of Tonight,Hamilton,Original Broadway,Hamilton (OBCR),150,https://www.youtube.com/results?search_query=The+Story+of+Tonight+Hamilton+OBCR,1:31
The Schuyler Sisters,Hamilton,Original Broadway,Hamilton (OBCR),124,https://www.youtube.com/results?search_query=The+Schuyler+Sisters+Hamilton+OBCR,3:06
Farmer Refuted,Hamilton,Original Broadway,Hamilton (OBCR),96,https://www.youtube.com/results?search_query=Farmer+Refuted+Hamilton+OBCR,1:52
You'll Be Back,Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=Youll+Be+Back+Hamilton+OBCR,3:28
Right Hand Man,Hamilton,Original Broadway,Hamilton (OBCR),86,https://www.youtube.com/results?search_query=Right+Hand+Man+Hamilton+OBCR,5:21
A Winter's Ball,Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=A+Winters+Ball+Hamilton+OBCR,1:09
Helpless,Hamilton,Original Broadway,Hamilton (OBCR),77,https://www.youtube.com/results?search_query=Helpless+Hamilton+OBCR,4:09
Satisfied,Hamilton,Original Broadway,Hamilton (OBCR),124,https://www.youtube.com/results?search_query=Satisfied+Hamilton+OBCR,5:29
The Story of Tonight (Reprise),Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Story+of+Tonight+Reprise+Hamilton+OBCR,1:55
Wait For It,Hamilton,Original Broadway,Hamilton (OBCR),92,https://www.youtube.com/results?search_query=Wait+For+It+Hamilton+OBCR,3:13
Stay Alive,Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=Stay+Alive+Hamilton+OBCR,2:39
Ten Duel Commandments,Hamilton,Original Broadway,Hamilton (OBCR),94,https://www.youtube.com/results?search_query=Ten+Duel+Commandments+Hamilton+OBCR,1:46
Meet Me Inside,Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=Meet+Me+Inside+Hamilton+OBCR,1:23
That Would Be Enough,Hamilton,Original Broadway,Hamilton (OBCR),68,https://www.youtube.com/results?search_query=That+Would+Be+Enough+Hamilton+OBCR,2:58
Guns and Ships,Hamilton,Original Broadway,Hamilton (OBCR),112,https://www.youtube.com/results?search_query=Guns+and+Ships+Hamilton+OBCR,2:07
History Has Its Eyes on You,Hamilton,Original Broadway,Hamilton (OBCR),82,https://www.youtube.com/results?search_query=History+Has+Its+Eyes+on+You+Hamilton+OBCR,1:37
Yorktown (The World Turned Upside Down),Hamilton,Original Broadway,Hamilton (OBCR),128,https://www.youtube.com/results?search_query=Yorktown+Hamilton+OBCR,4:02
What Comes Next?,Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=What+Comes+Next+Hamilton+OBCR,1:39
Dear Theodosia,Hamilton,Original Broadway,Hamilton (OBCR),76,https://www.youtube.com/results?search_query=Dear+Theodosia+Hamilton+OBCR,3:04
Non-Stop,Hamilton,Original Broadway,Hamilton (OBCR),102,https://www.youtube.com/results?search_query=Non-Stop+Hamilton+OBCR,6:25
What'd I Miss,Hamilton,Original Broadway,Hamilton (OBCR),108,https://www.youtube.com/results?search_query=Whatd+I+Miss+Hamilton+OBCR,3:56
Cabinet Battle #1,Hamilton,Original Broadway,Hamilton (OBCR),96,https://www.youtube.com/results?search_query=Cabinet+Battle+1+Hamilton+OBCR,3:35
Take a Break,Hamilton,Original Broadway,Hamilton (OBCR),98,https://www.youtube.com/results?search_query=Take+a+Break+Hamilton+OBCR,4:46
Say No to This,Hamilton,Original Broadway,Hamilton (OBCR),76,https://www.youtube.com/results?search_query=Say+No+to+This+Hamilton+OBCR,4:02
The Room Where It Happens,Hamilton,Original Broadway,Hamilton (OBCR),112,https://www.youtube.com/results?search_query=The+Room+Where+It+Happens+Hamilton+OBCR,5:18
