Song,Show,Specific Production,Album,BPM,YouTube Link
"Alexander Hamilton",Hamilton,Original Broadway,Hamilton (OBCR),132,https://www.youtube.com/results?search_query=Alexander+Hamilton+Hamilton+OBCR
"Aaron Burr, Sir",Hamilton,Original Broadway,Hamilton (OBCR),74,https://www.youtube.com/results?search_query=Aaron+Burr+Sir+Hamilton+OBCR
"My Shot",Hamilton,Original Broadway,Hamilton (OBCR),91,https://www.youtube.com/results?search_query=My+Shot+Hamilton+OBCR
"The Story of Tonight",Hamilton,Original Broadway,Hamilton (OBCR),150,https://www.youtube.com/results?search_query=The+Story+of+Tonight+Hamilton+OBCR
"The Schuyler Sisters",Hamilton,Original Broadway,Hamilton (OBCR),124,https://www.youtube.com/results?search_query=The+Schuyler+Sisters+Hamilton+OBCR
"Farmer Refuted",Hamilton,Original Broadway,Hamilton (OBCR),96,https://www.youtube.com/results?search_query=Farmer+Refuted+Hamilton+OBCR
"You'll Be Back",Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=Youll+Be+Back+Hamilton+OBCR
"Right Hand Man",Hamilton,Original Broadway,Hamilton (OBCR),86,https://www.youtube.com/results?search_query=Right+Hand+Man+Hamilton+OBCR
"A Winter's Ball",Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=A+Winters+Ball+Hamilton+OBCR
"Helpless",Hamilton,Original Broadway,Hamilton (OBCR),77,https://www.youtube.com/results?search_query=Helpless+Hamilton+OBCR
"Satisfied",Hamilton,Original Broadway,Hamilton (OBCR),124,https://www.youtube.com/results?search_query=Satisfied+Hamilton+OBCR
"The Story of Tonight (Reprise)",Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=The+Story+of+Tonight+Reprise+Hamilton+OBCR
"Wait For It",Hamilton,Original Broadway,Hamilton (OBCR),92,https://www.youtube.com/results?search_query=Wait+For+It+Hamilton+OBCR
"Stay Alive",Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=Stay+Alive+Hamilton+OBCR
"Ten Duel Commandments",Hamilton,Original Broadway,Hamilton (OBCR),94,https://www.youtube.com/results?search_query=Ten+Duel+Commandments+Hamilton+OBCR
"Meet Me Inside",Hamilton,Original Broadway,Hamilton (OBCR),120,https://www.youtube.com/results?search_query=Meet+Me+Inside+Hamilton+OBCR
"That Would Be Enough",Hamilton,Original Broadway,Hamilton (OBCR),68,https://www.youtube.com/results?search_query=That+Would+Be+Enough+Hamilton+OBCR
"Guns and Ships",Hamilton,Original Broadway,Hamilton (OBCR),112,https://www.youtube.com/results?search_query=Guns+and+Ships+Hamilton+OBCR
"History Has Its Eyes on You",Hamilton,Original Broadway,Hamilton (OBCR),82,https://www.youtube.com/results?search_query=History+Has+Its+Eyes+on+You+Hamilton+OBCR
"Yorktown (The World Turned Upside Down)",Hamilton,Original Broadway,Hamilton (OBCR),128,https://www.youtube.com/results?search_query=Yorktown+Hamilton+OBCR
"What Comes Next?",Hamilton,Original Broadway,Hamilton (OBCR),122,https://www.youtube.com/results?search_query=What+Comes+Next+Hamilton+OBCR
