Show,Specific Production,Album,BPM,Length,Song,YouTube Link,Video Title,Playlist Name
Hamilton,Original Broadway,Hamilton (OBCR),132,3:56,Alexander Hamilton,https://www.youtube.com/watch?v=cuyMAneJqms,"""Alexander Hamilton"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),74,2:36,"Aaron Burr, Sir",https://www.youtube.com/watch?v=C6GFb7FIB0Y,"""Aaron Burr, Sir"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),91,5:33,My Shot,https://www.youtube.com/watch?v=lZ4UmlFNdSI,"""My Shot"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),150,1:31,The Story of Tonight,https://www.youtube.com/watch?v=Q-YIAOUpCrg,"""The Story of Tonight"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),124,3:06,The Schuyler Sisters,https://www.youtube.com/watch?v=8da1KdwgwFE,"""The Schuyler Sisters"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),96,1:52,Farmer Refuted,https://www.youtube.com/watch?v=ZftZd0HUP9I,"""Farmer Refuted"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),122,3:28,You'll Be Back,https://www.youtube.com/watch?v=PyD6jeDBoDo,"""You'll Be Back"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),86,5:21,Right Hand Man,https://www.youtube.com/watch?v=krWqyRlH23Y,"""Right Hand Man"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),120,1:09,A Winter's Ball,https://www.youtube.com/watch?v=xgsiEnm8GUo,"""A Winter's Ball"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),77,4:09,Helpless,https://www.youtube.com/watch?v=0OlrtMfd_x8,"""Helpless"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),124,5:29,Satisfied,https://www.youtube.com/watch?v=YCxxWli-gkA,"""Satisfied"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),120,1:55,The Story of Tonight (Reprise),https://www.youtube.com/watch?v=hz1kEIn8cXo,"""The Story of Tonight - Reprise"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),92,3:13,Wait For It,https://www.youtube.com/watch?v=vZH8TyHUzRQ,"""Wait for It"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),122,2:39,Stay Alive,https://www.youtube.com/watch?v=77QGXmEHFlM,"""Stay Alive"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),94,1:46,Ten Duel Commandments,https://www.youtube.com/watch?v=uq4A7iqjBRk,"""Ten Duel Commandments"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),120,1:23,Meet Me Inside,https://www.youtube.com/watch?v=qGsyM9XQP9Y,"""Meet Me Inside"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),68,2:58,That Would Be Enough,https://www.youtube.com/watch?v=Ryh_LrPz9wI,"""That Would Be Enough"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),112,2:07,Guns and Ships,https://www.youtube.com/watch?v=JDL6R2KS3xg,"""Guns and Ships"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),82,1:37,History Has Its Eyes on You,https://www.youtube.com/watch?v=3l3GHsHYk3o,"""History Has Its Eyes on You"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),128,4:02,Yorktown (The World Turned Upside Down),https://www.youtube.com/watch?v=41qJIfzaqlM,"""Yorktown (The World Turned Upside Down)"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),122,1:39,What Comes Next?,https://www.youtube.com/watch?v=4ADYSLVwxvA,"""What Comes Next?"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),76,3:04,Dear Theodosia,https://www.youtube.com/watch?v=PGx7Fx3KyYk,"""Dear Theodosia"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),102,6:25,Non-Stop,https://www.youtube.com/watch?v=vYbdQAeO0vo,"""Non-Stop"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),108,3:56,What'd I Miss,https://www.youtube.com/watch?v=gEXV60TZ144,"""What'd I Miss"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),96,3:35,Cabinet Battle #1,https://www.youtube.com/watch?v=TZ1drFwVT24,"""Cabinet Battle #1"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),98,4:46,Take a Break,https://www.youtube.com/watch?v=xAikd8ADvbc,"""Take a Break"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),76,4:02,Say No to This,https://www.youtube.com/watch?v=NIJ2I7mxOE4,"""Say No to This"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),112,5:18,The Room Where It Happens,https://www.youtube.com/watch?v=qrkwgEUXyTU,"""The Room Where It Happens"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),120,1:03,Schuyler Defeated,https://www.youtube.com/watch?v=8I4Qvl8gZ6k,"""Schuyler Defeated"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),92,2:22,Cabinet Battle #2,https://www.youtube.com/watch?v=THXHQQJB0mM,"""Cabinet Battle #2"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),94,3:01,Washington on Your Side,https://www.youtube.com/watch?v=ok03QOm5EUs,"""Washington on Your Side"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),86,4:56,One Last Time,https://www.youtube.com/watch?v=CPgDZBADR3Y,"""One Last Time"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),122,1:37,I Know Him,https://www.youtube.com/watch?v=hGibKLo3SC0,"""I Know Him"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),120,0:54,The Adams Administration,https://www.youtube.com/watch?v=G_4DNnBjKCU,"""The Adams Administration"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),88,2:22,We Know,https://www.youtube.com/watch?v=lf5vDfqYf4Y,"""We Know"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),118,2:23,Hurricane,https://www.youtube.com/watch?v=ZDrIMv-irD8,"""Hurricane"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),120,2:08,The Reynolds Pamphlet,https://www.youtube.com/watch?v=ppfcuc8ptVg,"""The Reynolds Pamphlet"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),80,3:45,Burn,https://www.youtube.com/watch?v=ibiXMtfG6a8,"""Burn"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),96,2:53,Blow Us All Away,https://www.youtube.com/watch?v=cHxNyOMTnzY,"""Blow Us All Away"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),72,1:51,Stay Alive (Reprise),https://www.youtube.com/watch?v=uYFO4q1TZ6Y,"""Stay Alive - Reprise"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),74,4:30,It's Quiet Uptown,https://www.youtube.com/watch?v=412CiL83Ss0,"""It's Quiet Uptown"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),120,3:57,The Election of 1800,https://www.youtube.com/watch?v=wdhAUHMm5-0,"""The Election of 1800"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),98,2:30,Your Obedient Servant,https://www.youtube.com/watch?v=Rp2AaGysm_s,"""Your Obedient Servant"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),72,0:47,Best of Wives and Best of Women,https://www.youtube.com/watch?v=8ri_KdJD3Tg,"""Best of Wives and Best of Women"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),122,5:02,The World Was Wide Enough,https://www.youtube.com/watch?v=xcqQy4eOZvQ,"""The World Was Wide Enough"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Hamilton,Original Broadway,Hamilton (OBCR),84,3:37,"Who Lives, Who Dies, Who Tells Your Story",https://www.youtube.com/watch?v=ppXigfLHZog,"""Who Lives, Who Dies, Who Tells Your Story"" from HAMILTON",HAMILTON - Original Broadway Cast Album
Six,Studio Cast,Six: The Musical,122,5:51,Ex-Wives,https://www.youtube.com/watch?v=AgEJK6Vk8Ro,SIX the Musical - Ex Wives (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,115,4:02,No Way,https://www.youtube.com/watch?v=daa_SdJHWfc,SIX the Musical (featuring Renée Lamb) - No Way (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,110,4:06,Don't Lose Ur Head,https://www.youtube.com/watch?v=kAthQG1aKho,SIX the Musical - Don't Lose Ur Head (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,68,5:12,Heart of Stone,https://www.youtube.com/watch?v=wMY7nZHNp7U,SIX the Musical (featuring Natalie Paris) - Heart of Stone (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,130,2:07,Haus of Holbein,https://www.youtube.com/watch?v=KbyNfnlPCn4,SIX the Musical - Haus of Holbein (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,112,4:14,Get Down,https://www.youtube.com/watch?v=m5xv7fyRFyI,SIX the Musical - Get Down (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,118,6:51,All You Wanna Do,https://www.youtube.com/watch?v=BhszM7II9p8,SIX the Musical (featuring Aimie Atkinson) - All You Wanna Do (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,88,6:08,I Don't Need Your Love,https://www.youtube.com/watch?v=ukoXwo_eB_o,SIX the Musical - I Don't Need Your Love (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Six,Studio Cast,Six: The Musical,120,4:00,Six,https://www.youtube.com/watch?v=wTvRNwslYxA,SIX the Musical - Six (from the Studio Cast Recording),SIX the Musical - The Studio Cast Recording
Wicked,Original Broadway,Wicked (OBCR),138,6:40,No One Mourns the Wicked,https://www.youtube.com/watch?v=Fe9N3Xcwtso,"No One Mourns The Wicked (From ""Wicked"" Original Broadway Cast Recording/2003 / Audio)",&#39;Wicked&#39; Original Broadway Cast Recording
Wicked,Original Broadway,Wicked (OBCR),100,1:26,Dear Old Shiz,https://www.youtube.com/watch?v=H9bY_9HpCaQ,"Kristin Chenoweth - Dear Old Shiz (From ""Wicked"" Original Broadway Cast Recording/2003 / Audio)",&#39;Wicked&#39; Original Broadway Cast Recording
Wicked,Original Broadway,Wicked (OBCR),84,5:09,The Wizard and I,https://www.youtube.com/watch?v=i0r_RWwa2tQ,"The Wizard And I (From ""Wicked"" Original Broadway Cast Recording/2003 / Audio)",&#39;Wicked&#39; Original Broadway Cast Recording
Wicked,Original Broadway,Wicked (OBCR),144,3:32,What Is This Feeling?,https://www.youtube.com/watch?v=56y1llF6XtE,"What Is This Feeling? (From ""Wicked"" Original Broadway Cast Recording/2003 / Audio)",&#39;Wicked&#39; Original Broadway Cast Recording
