Title,Data
Row Row Row Your Boat,"[1] Row, [1] row, [1] row [2] your [3] boat, [3] Gen- [2] tly [3] down [4] the [5] stream. [8] Mer- [8] ri- [8] ly, [5] mer- [5] ri- [5] ly, [3] mer- [3] ri- [3] ly, [1] mer- [1] ri- [1] ly, [5] life [4] is [3] but [2] a [1] dream."
London Bridge is Falling Down,"[5] Lon- [6] don [5] bridge [4] is [3] fall- [4] ing [5] down, [2] fall- [3] ing [4] down, [3] fall- [4] ing [5] down. [5] Lon- [6] don [5] bridge [4] is [3] fall- [4] ing [5] down, [2] My [5] fair [3] la- [1] dy."
Old MacDonald Had a Farm,"[4] Old [4] Mac- [4] Don- [1] ald [2] had [2] a [1] farm, [6] E- [6] I- [5] E- [5] I- [4] O! [4] And [4] on [4] that [1] farm [2] he [2] had [1] a [1] cow, [6] E- [6] I- [5] E- [5] I- [4] O!"
The Wheels on the Bus,"[1] The [4] wheels [4] on [4] the [4] bus [6] go [8] round [6] and [4] round, [5] round [5] and [5] round, [4] round [6] and [8] round. [1] The [4] wheels [4] on [4] the [4] bus [6] go [8] round [6] and [4] round, [5] all [1] through [4] the [4] town."
You Are My Sunshine,"[1] You [1] are [2] my [3] sun- [3] shine, [3] my [2] on- [3] ly [1] sun- [1] shine. [1] You [2] make [3] me [4] hap- [6] py, [6] when [5] skies [4] are [3] grey."
Pop Goes the Weasel,"[1] All [1] a- [2] round [2] the [3] mul- [4] ber- [5] ry [1] bush, [1] The [1] mon- [2] key [2] chased [3] the [5] wea- [1] sel. [6] Pop! [4] goes [2] the [3] wea- [1] sel."
Oh My Darling Clementine,"[4] Oh [4] my [4] dar- [1] ling, [6] oh [6] my [6] dar- [4] ling, [4] oh [6] my [8] dar- [8] ling [7] Cle- [6] men- [5] tine. [5] You [6] are [7] lost [7] and [6] gone [5] for- [6] e- [4] ver, [4] dread- [5] ful [6] sor- [1] row, [2] Cle- [3] men- [4] tine."
Hush Little Baby,"[4] Hush [4] lit- [5] tle [6] ba- [6] by [6] don't [5] you [4] cry, [5] Ma- [5] ma's [5] gon- [5] na [4] buy [5] you [6] a [6] mock- [5] ing [4] bird."
Bingo,"[1] There [1] was [1] a [1] far- [1] mer [2] had [3] a [1] dog, [1] and [4] Bin- [4] go [4] was [3] his [2] name- [5] O. [1] B- [1] I- [1] N- [1] G- [1] O!"
Skip to My Lou,"[3] Skip, [3] skip, [3] skip [1] to [3] my [5] Lou. [2] Skip, [2] skip, [2] skip [7] to [2] my [4] Lou. [3] Skip, [3] skip, [3] skip [1] to [3] my [5] Lou. [2] Skip [4] to [3] my [2] Lou [1] my [1] dar- [1] ling."
Amazing Grace,"[1] A- [4] maz- [6] ing [4] grace, [6] how [5] sweet [4] the [2] sound, [1] That [4] saved [6] a [4] wretch [6] like [8] me."
Hey Jude - The Beatles,"[5] Hey [3] Jude, [3] don't [4] make [5] it [8] bad. [8] Take [7] a [6] sad [5] song [4] and [6] make [6] it [5] bet- [4] ter."
Yellow Submarine - The Beatles,"[1] In [1] the [1] town [1] where [2] I [3] was [4] born, [3] lived [2] a [1] man [1] who [2] sailed [3] to [4] sea."
Here Comes the Sun - The Beatles,"[6] Here [5] comes [4] the [2] sun, [6] do [5] do [4] do [2] do. [6] Here [5] comes [4] the [2] sun, [1] and [2] I [3] say, [4] it's [4] al- [4] right."
Lean On Me - Bill Withers,"[1] Some- [2] times [3] in [4] our [5] lives, [5] we [4] all [3] have [2] pain, [2] we [3] all [4] have [3] sor- [2] row."
Hallelujah - Leonard Cohen,"[5] I've [5] heard [5] there [5] was [6] a [6] se- [6] cret [6] chord, [5] that [5] Da- [5] vid [5] played [6] and [6] it [6] pleased [6] the [6] Lord."
A Thousand Years - Christina Perri,"[1] Heart [2] beats [3] fast, [3] col- [4] ors [3] and [2] pro- [1] mi- [1] ses. [1] How [2] to [3] be [3] brave, [3] how [4] can [3] I [2] love [1] when [1] I'm [1] a- [1] fraid."
Piano Man Intro - Billy Joel,"[5] Da [5] da [6] da [5] da [3] da [1] daaa. [5] Da [5] da [6] da [5] da [3] da [4] daaa."
Brown Eyed Girl - Van Morrison,"[5] Hey [6] where [7] did [8] we [7] go, [6] days [5] when [4] the [3] rains [2] came. [5] Down [6] in [7] the [8] hol- [7] low, [6] play- [5] in' [4] a [3] new [2] game."
Sweet Caroline - Neil Diamond,"[3] Sweet [4] Ca- [5] ro- [5] line! [5] Bap, [6] bap, [8] baaa! [8] Good [7] times [6] ne- [5] ver [4] seemed [3] so [2] good."
My Girl - The Temptations,"[1] I've [2] got [3] sun- [5] shine [6] on [5] a [3] clou- [2] dy [1] day. [1] When [2] it's [3] cold [5] out- [6] side, [5] I've [3] got [2] the [1] month [2] of [3] May."
Can't Help Falling in Love - Elvis Presley,"[1] Wise [5] men [1] say, [2] on- [3] ly [4] fools [3] rush [2] in. [4] But [5] I [6] can't [7] help [6] fall- [5] ing [4] in [3] love [2] with [1] you."
Call Me Maybe - Carly Rae Jepsen,"[5] I [5] threw [5] a [5] wish [5] in [5] the [3] well, [5] don't [5] ask [5] me [5] I'll [5] ne- [5] ver [3] tell."
Love Story - Taylor Swift,"[1] We [1] were [1] both [1] young [1] when [1] I [2] first [3] saw [1] you. [1] I [1] close [1] my [1] eyes [1] and [1] the [2] flash- [3] backs [1] start."
Titanic Theme (My Heart Will Go On),"[4] E- [4] ve- [4] ry [4] night [3] in [4] my [4] dreams, [3] I [4] see [5] you, [6] I [5] feel [4] you. [4] That [4] is [4] how [4] I [3] know [4] you [4] go [1] on."
A Million Dreams (The Greatest Showman),"[1] I [1] close [2] my [3] eyes [3] and [3] I [2] can [1] see, [1] The [1] world [2] that's [3] wait- [3] ing [3] up [2] for [1] me."
This Is Me (The Greatest Showman),"[5] I [5] am [5] brave, [5] I [5] am [5] bruised, [5] I [5] am [5] who [5] I'm [5] meant [5] to [5] be, [4] this [3] is [2] me."
A Whole New World (Aladdin),"[1] A [2] whole [3] new [1] world, [4] a [3] new [1] fan- [5] tas- [4] tic [3] point [2] of [1] view. [1] No [2] one [3] to [5] tell [6] us [5] no, [3] or [4] where [3] to [2] go."
Beauty and the Beast,"[3] Tale [4] as [5] old [3] as [1] time. [3] True [4] as [5] it [3] can [6] be. [1] Bare- [2] ly [3] e- [4] ven [5] friends."
Under the Sea (The Little Mermaid),"[8] Un- [8] der [7] the [6] sea, [8] un- [8] der [7] the [6] sea. [6] Dar- [6] ling [6] it's [6] bet- [5] ter [4] down [4] where [4] it's [4] wet- [3] ter [2] take [2] it [2] from [1] me."
Part of Your World (The Little Mermaid),"[1] Look [2] at [3] this [4] stuff, [5] is- [6] n't [7] it [8] neat? [1] Would- [2] n't [3] you [4] think [5] my [6] col- [7] lec- [8] tion's [9] com- [10] plete?"
Colors of the Wind (Pocahontas),"[1] You [2] think [3] you [4] own [5] what- [6] e- [7] ver [8] land [9] you [10] land [8] on. [1] The [2] earth [3] is [4] just [5] a [6] dead [7] thing [8] you [9] can [10] claim."
Can You Feel the Love Tonight,"[5] Can [4] you [3] feel [2] the [1] love [2] to- [3] night. [5] It [4] is [3] where [6] we [5] are."
Circle of Life (The Lion King),"[8] It's [7] the [6] cir- [5] cle [4] of [3] life. [3] And [3] it [4] moves [5] us [6] all."
Do-Re-Mi (The Sound of Music),"[1] Doe, [2] a [3] deer, [1] a [3] fe- [1] male [3] deer. [2] Ray, [3] a [4] drop [4] of [3] gol- [2] den [4] sun. [3] Me, [4] a [5] name [3] I [5] call [3] my- [5] self."
My Favorite Things (The Sound of Music),"[3] Rain- [3] drops [3] on [7] ro- [7] ses [7] and [6] whis- [6] kers [6] on [3] kit- [3] tens. [3] Bright [3] cop- [3] per [7] ket- [7] tles [7] and [6] warm [6] woo- [6] len [3] mit- [3] tens."
Edelweiss (The Sound of Music),"[3] E- [5] del- [8] weiss, [6] E- [4] del- [5] weiss. [3] E- [3] very [4] mor- [5] ning [6] you [7] greet [8] me."
Over the Rainbow (The Wizard of Oz),"[1] Some- [8] where [7] o- [6] ver [5] the [6] rain- [8] bow, [1] way [6] up [5] high. [4] There's [3] a [2] land [1] that [2] I [3] heard [4] of [5] once [1] in [2] a [3] lul- [4] la- [5] by."
Star Wars (Main Theme),"[1] Da [1] da [1] da [4] DAAAA [8] daaa, [7] da [6] da [5] da [11] DAAAA [8] daaa. [7] Da [6] da [5] da [11] DAAAA [8] daaa, [7] da [6] da [7] da [5] daaa."
Concerning Hobbits (Lord of the Rings),"[1] Da [2] da [3] da [5] da, [3] da [2] da [1] da [2] da [3] da. [1] Da [2] da [3] da [5] da [6] da [5] da [3] da [2] da."
Jurassic Park (Main Theme),"[7] Da [6] da [7] da [4] da [5] da, [7] Da [6] da [7] da [4] da [5] da. [7] Da [6] da [7] da [8] da [9] da, [10] da [8] da [6] da."
Indiana Jones (Raiders March),"[3] Da [4] da [5] DAAA, [8] da [2] da [3] DAAA. [3] Da [4] da [5] DAAA, [8] da [9] da [10] da [11] DAAA."
Ode to Joy - Beethoven,"[3] Da [3] da [4] da [5] da, [5] da [4] da [3] da [2] da, [1] da [1] da [2] da [3] da, [3] da [2] da [2] da."
Lullaby - Brahms,"[3] Lul- [3] la- [5] by, [3] and [3] good [5] night. [3] Go [5] to [8] sleep [7] lit- [6] tle [6] ba- [5] by."
Canon in D (Main Melody) - Pachelbel,"[10] Da [9] da [8] da [7] da [6] da [5] da [6] da [7] da. [10] Da [9] da [8] da [7] da [6] da [5] da [6] da [7] da."
Spring (From The Four Seasons) - Vivaldi,"[3] Da [3] da [3] da [2] da [1] da [5] da [5] da. [3] Da [3] da [3] da [2] da [1] da [5] da [5] da."
Morning Mood - Edvard Grieg,"[5] Da [3] da [2] da [1] da [2] da [3] da [5] da [3] da [2] da [1] da [2] da [3] da."
New World Symphony (Largo) - Antonín Dvořák,"[3] Go [5] in [5] peace, [3] go [2] in [1] love, [2] go [3] in [2] joy. [3] Go [5] in [5] peace, [3] go [2] in [1] love, [2] go [1] in [1] joy."
William Tell Overture (Main Theme) - Rossini,"[1] Da [1] da [1] da, [1] da [1] da [1] da, [1] da [2] da [3] da [1] da [5] da. [1] Da [1] da [1] da, [1] da [1] da [1] da, [1] da [2] da [3] da [2] da [1] da."
Blue Danube Waltz - Johann Strauss II,"[1] Da [1] da [5] da [5] da [10] da [10] da. [5] Da [5] da [9] da [9] da."
Jupiter (Chorale Theme) - Gustav Holst,"[5] Da [6] da [8] da [9] da [10] da [8] da [6] da [5] da [6] da [8] da [5] da."
Swan Lake (Main Theme) - Tchaikovsky,"[6] Da [10] da [9] da [8] da [7] da [8] da [9] da [6] da."
